group_id,recommendation,url_group,reason,page_count,sample_url_1,sample_url_2,sample_url_3,sample_url_4,sample_url_5
1,FLAG FOR REVIEW,Academic Calendar,Low traffic - assess relevance,208,https://www.nysid.edu/academic-calendar-list/last-day-to-drop-fall-courses-1,https://www.nysid.edu/academic-calendar-list/last-day-for-100-refund-for-fall-semester-3-kaxee,https://www.nysid.edu/academic-calendar-list/thanksgiving-break-no-classes-all-buildings-closed-1,https://www.nysid.edu/academic-calendar-list/summer-semester-begins-2,https://www.nysid.edu/academic-calendar-list/late-registration-for-spring-semesterspring2026
2,LEAVE BEHIND,Academic Calendar,Event page with minimal traffic - likely past event,208,https://www.nysid.edu/academic-calendar-list/last-day-to-drop-fall-courses-1?format=ical,https://www.nysid.edu/academic-calendar-list/last-day-for-100-refund-for-fall-semester-3-kaxee?format=ical,https://www.nysid.edu/academic-calendar-list/thanksgiving-break-no-classes-all-buildings-closed-1?format=ical,https://www.nysid.edu/academic-calendar-list/summer-semester-begins-2?format=ical,https://www.nysid.edu/academic-calendar-list/last-day-for-voluntary-withdrawal-from-classes-1?format=ical
3,FLAG FOR REVIEW,Atelier Magazine,Low traffic - assess relevance,157,https://www.nysid.edu/atelier-mag/nantucket-by-design-2020,https://www.nysid.edu/atelier-mag/porfolio-klayre-tan,https://www.nysid.edu/atelier-mag/portfolio-nirali-prajapati-23-mpsl,https://www.nysid.edu/atelier-mag/porfolio-grace-spiezia-samantha-berlanga,https://www.nysid.edu/atelier-mag/tag/fall+2018
4,FLAG FOR REVIEW,Press Releases,Moderate traffic but unclear strategic value value,121,https://www.nysid.edu/press-releases-and-in-the-news/the-new-york-school-of-interior-design-announces-honorees-for-annual-gala-2026,https://www.nysid.edu/press-releases-and-in-the-news/sketching-the-surface-exploring-the-new-york-school-of-interior-design-archives-and-contemporary-pattern-design,https://www.nysid.edu/press-releases-and-in-the-news?author=64dcd60578f02a78ef8650ae,https://www.nysid.edu/press-releases-and-in-the-news?author=6446c913dd9d6e5ab247846b,https://www.nysid.edu/press-releases-and-in-the-news?author=65f0c1b518bc7271f43a336b
5,LEAVE BEHIND,Documents & Downloads,Low traffic + poor quality + weak strategic value alignment,114,https://www.nysid.edu/s/academic-catalog-20192020-v2,https://www.nysid.edu/s/nysid-20-21-catalog-dec10.pdf,https://www.nysid.edu/s/nysid2018acadcatoct11.pdf,https://www.nysid.edu/s/nysid2022academiccatalog-dec7v2.pdf,https://www.nysid.edu/s/nysid-saccs-climate-survey-23-24-results.pdf
6,LEAVE BEHIND,Events Calendar,Event page with minimal traffic - likely past event,111,https://www.nysid.edu/events-calendar/printing-in-distemper-woodblock-workshop,https://www.nysid.edu/events-calendar/be-original-prevent-the-demise-of-design,https://www.nysid.edu/events-calendar/printing-in-distemper-woodblock-workshop?format=ical,https://www.nysid.edu/events-calendar/be-original-prevent-the-demise-of-design?format=ical,https://www.nysid.edu/events-calendar/interior-design-master-class-100-rooms
7,FLAG FOR REVIEW,Faculty Directory,Faculty/staff bio page - verify if person still employed,102,https://www.nysid.edu/faculty-directory/jeffri-boisvert,https://www.nysid.edu/faculty-directory/daniel-harper,https://www.nysid.edu/faculty-directory/tag/s,https://www.nysid.edu/faculty-directory/tim-chogovadze2,https://www.nysid.edu/faculty-directory/tama-duffy-day
8,FLAG FOR REVIEW,Other,Low traffic - assess relevance,85,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/kira-cedeno,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/chihchieh-hsu,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/jessica-hassler,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/cielo-cortes,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/tatiana-toshimitsu
9,LEAVE BEHIND,Blog,Low traffic + poor quality + weak strategic value alignment,82,https://www.nysid.edu/blog/john-buscarello-on-whats-foundational-vs-cutting-edge-in-kitchen-amp-bath-design,https://www.nysid.edu/blog/faculty-and-students-see-nysid-instructors-art-show-up-close-in-mumbai,https://www.nysid.edu/blog/precollege2020,https://www.nysid.edu/blog/tag/nancy+short,https://www.nysid.edu/blog/the-legacy-of-alumna-maria-spears
10,STALE CONTENT,Faculty Directory,Content from 2017 - older than 2025,79,https://www.nysid.edu/faculty-directory/2017/10/18/ellen-fisher,https://www.nysid.edu/faculty-directory/2017/10/11/shannon-m-leddy-allied-asid-idec,https://www.nysid.edu/faculty-directory/2017/10/18/randi-halpern-cid-idec,https://www.nysid.edu/faculty-directory/2017/10/18/lissette-carrera,https://www.nysid.edu/faculty-directory/2017/10/11/adam-kornelli
11,STALE CONTENT,Events Calendar,Content from 2018 - older than 2025,79,https://www.nysid.edu/events-calendar/2018/12/20/sally-henderson-lecture-on-green-design,https://www.nysid.edu/events-calendar/2018/12/20/sally-henderson-lecture-on-green-design?format=ical,https://www.nysid.edu/events-calendar/2018/4/3/wellness-weeks,https://www.nysid.edu/events-calendar/2018/4/3/wellness-weeks?format=ical,https://www.nysid.edu/events-calendar/2018/9/5/international-student-orientation
12,FLAG FOR REVIEW,Blog,Moderate traffic but unclear strategic value value,66,https://www.nysid.edu/blog/nysids-inaugural-jeremiah-brent-design-scholar-on-interning-at-the-firm,https://www.nysid.edu/blog/nysids-primer-on-seeking-professional-credentials-in-interior-design,https://www.nysid.edu/blog/nysid-pre-college-scholarships-open-doors-to-design-talents,https://www.nysid.edu/blog/nysid-students-win-2025-angelo-donghia-foundation-scholarships,https://www.nysid.edu/blog/from-culture-to-creativity-the-meaning-of-nysids-study-abroad-scholarships-to-china
13,FLAG FOR REVIEW,Blog,Low traffic - assess relevance,65,https://www.nysid.edu/blog/what-it-means-to-create-access-to-nysids-semester-abroad-in-florence,https://www.nysid.edu/blog/category/summer+pre-college,https://www.nysid.edu/blog/tag/awards,https://www.nysid.edu/blog/remembering-ruth-lynford,https://www.nysid.edu/blog/theres-much-to-learn-from-david-scotts-kips-bay-show-house-design
14,FLAG FOR REVIEW,Atelier Magazine,Moderate traffic but unclear strategic value value,57,https://www.nysid.edu/atelier-mag/category/portfolio,https://www.nysid.edu/atelier-mag?author=65f0c1b518bc7271f43a336b,https://www.nysid.edu/atelier-mag?author=64dcd55a8572c16652a48840,https://www.nysid.edu/atelier-mag?author=61d880f4b325f005149f6ea2,https://www.nysid.edu/atelier-mag?author=6022c3db12db1911bce04dbd
15,STALE CONTENT,Events Calendar,Content from 2019 - older than 2025,55,https://www.nysid.edu/events-calendar/2019/8/13/our-lifespan-by-design-the-creative-challenge,https://www.nysid.edu/events-calendar/2019/9/12/whats-new-whats-next,https://www.nysid.edu/events-calendar/2019/10/28/the-1st-annual-mark-hampton-lecture,https://www.nysid.edu/events-calendar/2019/2/28/taking-sides-the-dlfny-annual-debate,https://www.nysid.edu/events-calendar/2019/9/12/whats-new-whats-next?format=ical
16,FLAG FOR REVIEW,Events Calendar,Event page - verify if upcoming/recurring or archive content,49,https://www.nysid.edu/events-calendar?tag=spring+2017,https://www.nysid.edu/events-calendar?category=student+events,https://www.nysid.edu/events-calendar?category=exhibitions,https://www.nysid.edu/events-calendar?tag=dialogues+on+design,https://www.nysid.edu/events-calendar?category=dialogues+on+design
17,STALE CONTENT,Profiles,Content from 2018 - older than 2025,48,https://www.nysid.edu/profiles-list/2018/12/11/jennifer-shum,https://www.nysid.edu/profiles-list/2018/10/17/lynda-head,https://www.nysid.edu/profiles-list/2018/11/14/drew-mcgukin,https://www.nysid.edu/profiles-list/2018/1/29/allison-russell-davis,https://www.nysid.edu/profiles-list/2018/4/11/britni-williams
18,STALE CONTENT,Press Releases,Content from 2010 - older than 2025,47,https://www.nysid.edu/press-releases-and-in-the-news/2010/5/3/renowned-designer-shashi-caan-to-speak-at-nysid-2010-commencement-exercises,https://www.nysid.edu/press-releases-and-in-the-news/2010/12/1/nysid-appoints-new-board-chairman-and-board-member,https://www.nysid.edu/press-releases-and-in-the-news/2010/8/4/teaching-tomorrows-designers,https://www.nysid.edu/press-releases-and-in-the-news/2010/10/12/nysid-launches-masters-program-in-interior-lighting-design,https://www.nysid.edu/press-releases-and-in-the-news/2010/3/2/nysid-signs-20-year-lease-for-40000-square-feet-in-midtown-south-to-house-colleges-graduate-center
19,STALE CONTENT,Events Calendar,Content from 2017 - older than 2025,45,https://www.nysid.edu/events-calendar/2017/12/11/dialogues-on-design-with-steven-gambrel?format=ical,https://www.nysid.edu/events-calendar/2017/12/11/dialogues-on-design-with-steven-gambrel,https://www.nysid.edu/events-calendar/2017/11/9/dialogues-on-design-with-suzanne-rheinstein,https://www.nysid.edu/events-calendar/2017/11/9/dialogues-on-design-with-suzanne-rheinstein?format=ical,https://www.nysid.edu/events-calendar/2017/5/22/bfa-thesis-exhibition-opening-reception
20,STALE CONTENT,Press Releases,Content from 2009 - older than 2025,42,https://www.nysid.edu/press-releases-and-in-the-news/2009/7/15/nysid-announces-a-new-first-professional-mfa-in-interior-design,https://www.nysid.edu/press-releases-and-in-the-news/2009/12/2/dexter,https://www.nysid.edu/press-releases-and-in-the-news/2009/10/14/panel-of-design-industry-leaders-share-knowledge-at-nysid,https://www.nysid.edu/press-releases-and-in-the-news/2009/6/4/nysid-announces-new-institute-for-continuing-and-professional-studies,https://www.nysid.edu/press-releases-and-in-the-news/2009/2/4/on-sutton-place
21,LEAVE BEHIND,Press Releases,Low traffic + poor quality + weak strategic value alignment,40,https://www.nysid.edu/press-releases-and-in-the-news/the-best-certificate-programs-and-certifications-in-nyc,https://www.nysid.edu/press-releases-and-in-the-news/faculty-member-harry-heissmann-highlighted-in-1st-dibs,https://www.nysid.edu/press-releases-and-in-the-news/a-nysid-primer-on-professional-credentials-in-interior-design,https://www.nysid.edu/press-releases-and-in-the-news/gail-davis-11-aas-featured-in-apartment-therapy,https://www.nysid.edu/press-releases-and-in-the-news/housebeautifulcom/lifestyle/a60483288/leed-certification-home-building-guide/taid66203f0ff5549b000145041autmcampaigntrueanthemutmmediumsocialutmsourcetwitter
22,LEAVE BEHIND,Atelier Magazine,Low traffic + poor quality + weak strategic value alignment,37,https://www.nysid.edu/atelier-mag/category/students,https://www.nysid.edu/atelier-mag/category/spring+2022,https://www.nysid.edu/atelier-mag/tag/mpsh,https://www.nysid.edu/atelier-mag/tag/summer+2020,https://www.nysid.edu/atelier-mag/tag/students
23,STALE CONTENT,Press Releases,Content from 2014 - older than 2025,34,https://www.nysid.edu/press-releases-and-in-the-news/2014/11/14/new-york-school-of-interior-design-ranked-one-of-the-best-interior-design-schools-in-the-nation-by-design-intelligence,https://www.nysid.edu/press-releases-and-in-the-news/2014/6/27/nysid-thesis-highlights,https://www.nysid.edu/press-releases-and-in-the-news/2014/1/23/new-york-school-of-interior-design-announces-public-programs-for-spring-2014,https://www.nysid.edu/press-releases-and-in-the-news/2014/7/1/yue-magazine-covers-nysid-in-its-education-special,https://www.nysid.edu/press-releases-and-in-the-news/2014/3/4/design-diplomacy-talk
24,ADAPT,Exhibitions,Traffic present but poor engagement - content restructure needed,33,https://www.nysid.edu/exhibitions?category=student+events,https://www.nysid.edu/exhibitions?category=thesis+exhibitions+2019,https://www.nysid.edu/exhibitions?category=thesis+exhibitions+2022,https://www.nysid.edu/exhibitions?category=thesis+exhibitions+2024,https://www.nysid.edu/exhibitions?category=thesis+exhibitions+2023
25,LEAVE BEHIND,Other,Low traffic + poor quality + weak strategic value alignment,32,https://www.nysid.edu/lives-changed-benny-seda-galarza,https://www.nysid.edu/ferpa-annual-notification-of-the-family-educational-rights-and-privacy-act,https://www.nysid.edu/lives-changed-chazzten-pettiford,https://www.nysid.edu/student-grievance-procedures-for-distance-education-students,https://www.nysid.edu/class-of-2021-thesis-and-studio-projects-work/yangyu-gao
26,MIGRATE,Atelier Magazine,Moderate traffic with solid strategic value alignment,30,https://www.nysid.edu/atelier-mag/portfolio-2emerson-kraus-24-bfa,https://www.nysid.edu/atelier-mag/five-internships,https://www.nysid.edu/atelier-mag/visual-thinker-beth-diana-smith,https://www.nysid.edu/atelier-mag/notable-at-nysid-summer-2024-f9e5w,https://www.nysid.edu/atelier-mag/collaborative-by-design
27,FLAG FOR REVIEW,Press Releases,Low traffic - assess relevance,29,https://www.nysid.edu/press-releases-and-in-the-news/category/nysid+in+the+news,https://www.nysid.edu/press-releases-and-in-the-news/new-york-school-of-interior-design-announces-chesie-breen-as-its-new-trustee,https://www.nysid.edu/press-releases-and-in-the-news/adam-sandow-and-kia-weatherspoon-to-speak-at-new-york-school-of-interior-design-2021-virtual-commencement-ceremony,https://www.nysid.edu/press-releases-and-in-the-news/tag/commencement,https://www.nysid.edu/press-releases-and-in-the-news/tag/board+of+trustees
28,STALE CONTENT,Press Releases,Content from 2013 - older than 2025,23,https://www.nysid.edu/press-releases-and-in-the-news/2013/4/24/new-york-school-of-interior-design-announces-cida-accreditation-for-its-bfa-and-mfa-1-programs,https://www.nysid.edu/press-releases-and-in-the-news/2013/7/30/new-york-school-of-interior-design-presents-fall-2013-exhibition-mid-century-maestro-the-tecxtiles-of-boris-kroll,https://www.nysid.edu/press-releases-and-in-the-news/2013/8/26/new-york-school-of-interior-design-announces-public-programs-for-fall-2013,https://www.nysid.edu/press-releases-and-in-the-news/2013/10/1/nysid-celebrates-design-scholarships-at-a-cocktail-reception-at-park-avenue-armory,https://www.nysid.edu/press-releases-and-in-the-news/2013/11/11/new-york-school-of-interior-designs-undergraduate-and-graduate-programs-receive-top-rankings-from-design-intelligence
29,STALE CONTENT,Press Releases,Content from 2011 - older than 2025,21,https://www.nysid.edu/press-releases-and-in-the-news/2011/3/16/nysid-and-sothebys-institute-of-art-launch-collaborative-masters-degree-program,https://www.nysid.edu/press-releases-and-in-the-news/2011/6/22/nysid-trustee-thomas-n-armstrong-iii-dies-at-78,https://www.nysid.edu/press-releases-and-in-the-news/2011/9/7/top-50-names-you-need-to-know-in-metro-new-york-design,https://www.nysid.edu/press-releases-and-in-the-news/2011/3/11/nysid-create-innovative-environment-for-diffas-dining-by-design-event,https://www.nysid.edu/press-releases-and-in-the-news/2011/9/5/nysid-opens-40000-square-foot-graduate-center-in-gramercyflatiron-district
30,STALE CONTENT,Press Releases,Content from 2018 - older than 2025,21,https://www.nysid.edu/press-releases-and-in-the-news/2018/3/2/suzanne-rheinstein-jorge-sanchez-and-edwina-von-gal-to-be-honored-by-new-york-school-of-interior-design,https://www.nysid.edu/press-releases-and-in-the-news/2018/8/16/ykj1jma66u9fbixje12f44r9blti0i,https://www.nysid.edu/press-releases-and-in-the-news/2018/4/12/nysid-2018-commencement-ceremony,https://www.nysid.edu/press-releases-and-in-the-news/2018/2/8/new-york-school-of-interior-design-hosts-reception-in-palm-beach,https://www.nysid.edu/press-releases-and-in-the-news/2018/7/10/nantucket-by-design
31,STALE CONTENT,Blog,Content from 2019 - older than 2025,21,https://www.nysid.edu/blog/2019/12/13/six-ways-to-stay-marketable-in-interior-design,https://www.nysid.edu/blog/2019/12/13/guest-blogger-alumnae-allison-caccoma-00-aas,https://www.nysid.edu/blog/2019/2/12/jeffrey-bilhuber-christopher-spitzmiller-and-alberto-villalobos-honored-by-the-new-york-school-of-interior-design,https://www.nysid.edu/blog/2019/4/19/diffas-dining-by-design-new-york,https://www.nysid.edu/blog/2019/12/11/nysid-alumni-marketplace
32,STALE CONTENT,Press Releases,Content from 2012 - older than 2025,19,https://www.nysid.edu/press-releases-and-in-the-news/2012/9/6/new-york-school-of-interior-design-announces-public-programs-for-fall-2012,https://www.nysid.edu/press-releases-and-in-the-news/2012/9/5/three-rising-stars-in-design-and-architecture,https://www.nysid.edu/press-releases-and-in-the-news/2012/1/26/michelle-bergeron-skatemoderne-in-luxe,https://www.nysid.edu/press-releases-and-in-the-news/2012/6/13/nysid-appoints-five-new-members-to-its-board-of-trustees,https://www.nysid.edu/press-releases-and-in-the-news/2012/7/25/nysid-names-david-sprouls-as-its-new-president
33,LEAVE BEHIND,Exhibitions,Event page with minimal traffic - likely past event,19,https://www.nysid.edu/exhibitions/nysid-india-study-abroad-exhibit?format=ical,https://www.nysid.edu/exhibitions/nysid-india-study-abroad-exhibit,https://www.nysid.edu/exhibitions/another-life-conversations-on-imagined-space?format=ical,https://www.nysid.edu/exhibitions/another-life-conversations-on-imagined-space,https://www.nysid.edu/exhibitions/bfa-thesis-fall-2017?format=ical
34,STALE CONTENT,Press Releases,Content from 2016 - older than 2025,18,https://www.nysid.edu/press-releases-and-in-the-news/2016/9/30/nysid-ranked-the-top-interior-design-school-in-the-nation-by-design-intelligence,https://www.nysid.edu/press-releases-and-in-the-news/2016/6/23/new-york-school-of-interior-design-granted-middle-states-accreditation,https://www.nysid.edu/press-releases-and-in-the-news/2016/3/10/nysid-honored-ellie-cullman-jim-druckman-michael-phillips-and-deborah-nevins-at-their-centennial-gala,https://www.nysid.edu/press-releases-and-in-the-news/2016/3/1/the-new-york-school-of-interior-design-celebrates-a-century-of-influential-design,https://www.nysid.edu/press-releases-and-in-the-news/2016/9/1/grooming-the-next-generation-of-design-talent
35,STALE CONTENT,Press Releases,Content from 2019 - older than 2025,17,https://www.nysid.edu/press-releases-and-in-the-news/2019/2/21/iesnyc-announces-nysid-student-brigid-hardiman-winner-of-25000-iesnyc-scholarship,https://www.nysid.edu/press-releases-and-in-the-news/2019/10/30/executive-vice-president-and-ceo-of-iida-cheryl-s-durst-appointed-to-the-new-york-school-of-interior-design-board-of-trustees,https://www.nysid.edu/press-releases-and-in-the-news/2019/5/24/new-york-school-of-interior-design-celebrates-its-2019-commencement-ceremony,https://www.nysid.edu/press-releases-and-in-the-news/2019/3/6/the-new-york-school-of-interior-design-honors-jeffrey-bilhuber-christopher-spitzmiller-and-alberto-villalobos-at-annual-gala,https://www.nysid.edu/press-releases-and-in-the-news/2019/11/4/the-new-york-school-of-interior-design-announces-honorees-for-nysid-annual-gala-2020
